[2023-05-08 18:01:32,049] INFO [Broker id=0] Leader test6-0 with topic id Some(uLdWFPO3SKW0QAHwmAUWEA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,059] INFO [Broker id=0] Leader test3-0 with topic id Some(keR9EWEyT_O8BX4e2as85w) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,070] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,079] INFO [Broker id=0] Leader test4-0 with topic id Some(XS9F0BcQRxqSUYg33D2yhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,085] INFO [Broker id=0] Leader test9-0 with topic id Some(bqr2lwobSt24FpgwRa8Wpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,094] INFO [Broker id=0] Leader first_topics-2 with topic id Some(uvcs1kr4QrCv5t040zy59g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,104] INFO [Broker id=0] Leader test7-0 with topic id Some(Gr5pBw9tSpqN7Ofrf2nuCA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,114] INFO [Broker id=0] Leader test8-0 with topic id Some(KWecw1pfT7-zRRdihFChuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,124] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,135] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,144] INFO [Broker id=0] Leader partitioned-3 with topic id Some(A-PaCxxkRKuy0MVqtLUARw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,153] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,163] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,173] INFO [Broker id=0] Leader second_topics-0 with topic id Some(DXv0aY5KTb66PBhYqmyWAA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,183] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,194] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,203] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,210] INFO [Broker id=0] Leader partitioned-4 with topic id Some(A-PaCxxkRKuy0MVqtLUARw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,220] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
